date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:25	138/138	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jan%202022%2014:51:23%20GMT	https://buildroyale.io/robots.txt		(from )
15:51:26	20559/20559	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jan%202022%2021:19:21%20GMT	https://buildroyale.io/	C:/My%20Web%20Sites/g/buildroyale.io/index.html	(from )
15:51:26	4307/4307	---M--	200	added ('OK')	image/png	etag:W/%2210d3-17e2f5089d1%22	https://buildroyale.io/buildart/metal.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/metal.png	(from https://buildroyale.io/)
15:51:26	30977/30977	---MCZ	200	added ('OK')	text/css	etag:W/%227901-17e64c247c3%22	https://buildroyale.io/css/main.css?v=124	C:/My%20Web%20Sites/g/buildroyale.io/css/main7944.css	(from https://buildroyale.io/)
15:51:26	22953/22953	---M--	200	added ('OK')	image/png	etag:W/%2259a9-17e2f508cb5%22	https://buildroyale.io/pwa/apple-touch-icon.png	C:/My%20Web%20Sites/g/buildroyale.io/pwa/apple-touch-icon.png	(from https://buildroyale.io/)
15:51:27	490/490	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%221ea-17e2f50907d%22	https://buildroyale.io/pwa/site.webmanifest	C:/My%20Web%20Sites/g/buildroyale.io/pwa/site.webmanifest	(from https://buildroyale.io/)
15:51:27	5789/5789	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22169d-17e2f509291%22	https://buildroyale.io/pwa/safari-pinned-tab.svg	C:/My%20Web%20Sites/g/buildroyale.io/pwa/safari-pinned-tab.svg	(from https://buildroyale.io/)
15:51:27	250/250	---MCZ	200	added ('OK')	application/xml	etag:W/%22fa-17e2f509245%22	https://buildroyale.io/pwa/browserconfig.xml	C:/My%20Web%20Sites/g/buildroyale.io/pwa/browserconfig.xml	(from https://buildroyale.io/)
15:51:28	55948/55948	---M--	200	added ('OK')	image/png	etag:W/%22da8c-17e2f50ded9%22	https://buildroyale.io/buildart/thumbnail.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/thumbnail.png	(from https://buildroyale.io/)
15:51:28	969/969	---M--	200	added ('OK')	image/png	etag:W/%223c9-17e2f508e91%22	https://buildroyale.io/buildart/loader.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/loader.png	(from https://buildroyale.io/)
15:51:28	4126/4126	---M--	200	added ('OK')	image/png	etag:W/%22101e-17e2f50d5ed%22	https://buildroyale.io/buildart/solo-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/solo-out.png	(from https://buildroyale.io/)
15:51:28	4709/4709	---M--	200	added ('OK')	image/png	etag:W/%221265-17e2f508561%22	https://buildroyale.io/buildart/duos-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/duos-out.png	(from https://buildroyale.io/)
15:51:28	5151/5151	---M--	200	added ('OK')	image/png	etag:W/%22141f-17e2f50ec45%22	https://buildroyale.io/buildart/squad-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/squad-out.png	(from https://buildroyale.io/)
15:51:29	7907/7907	---M--	200	added ('OK')	image/png	etag:W/%221ee3-17e2f50aa25%22	https://buildroyale.io/buildart/explosive-encounters-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/explosive-encounters-out.png	(from https://buildroyale.io/)
15:51:29	1290/1290	---M--	200	added ('OK')	image/png	etag:W/%2250a-17e2f50a4cd%22	https://buildroyale.io/buildart/icon-account.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/icon-account.png	(from https://buildroyale.io/)
15:51:29	1636/1636	---M--	200	added ('OK')	image/png	etag:W/%22664-17e2f50abf1%22	https://buildroyale.io/buildart/icon-settings.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/icon-settings.png	(from https://buildroyale.io/)
15:51:29	1186/1186	---M--	200	added ('OK')	image/png	etag:W/%224a2-17e2f50ece1%22	https://buildroyale.io/buildart/icon-locker.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/icon-locker.png	(from https://buildroyale.io/)
15:51:30	1390/1390	---M--	200	added ('OK')	image/png	etag:W/%2256e-17e2f50c70d%22	https://buildroyale.io/buildart/icon-challenges.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/icon-challenges.png	(from https://buildroyale.io/)
15:51:30	1632/1632	---M--	200	added ('OK')	image/png	etag:W/%22660-17e2f5091d1%22	https://buildroyale.io/buildart/icon-leaderboard.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/icon-leaderboard.png	(from https://buildroyale.io/)
15:51:30	3736/3736	---M--	200	added ('OK')	image/png	etag:W/%22e98-17e2f507ab5%22	https://buildroyale.io/buildart/logo1.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/logo1.png	(from https://buildroyale.io/)
15:51:30	16561/16561	---M--	200	added ('OK')	image/png	etag:W/%2240b1-17e2f50bc0d%22	https://buildroyale.io/buildart/logochristmas.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/logochristmas.png	(from https://buildroyale.io/)
15:51:30	2739/2739	---M--	200	added ('OK')	image/png	etag:W/%22ab3-17e2f50cec9%22	https://buildroyale.io/buildart/login-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/login-out.png	(from https://buildroyale.io/)
15:51:31	2445/2445	---M--	200	added ('OK')	image/png	etag:W/%2298d-17e2f50bd3d%22	https://buildroyale.io/buildart/account-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/account-out.png	(from https://buildroyale.io/)
15:51:31	2545/2545	---M--	200	added ('OK')	image/png	etag:W/%229f1-17e2f50bb29%22	https://buildroyale.io/buildart/challenges-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/challenges-out.png	(from https://buildroyale.io/)
15:51:31	2362/2362	---M--	200	added ('OK')	image/png	etag:W/%2293a-17e2f50bbc1%22	https://buildroyale.io/buildart/locker-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/locker-out.png	(from https://buildroyale.io/)
15:51:31	2163/2163	---M--	200	added ('OK')	image/png	etag:W/%22873-17e2f50c3c9%22	https://buildroyale.io/buildart/signout-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/signout-out.png	(from https://buildroyale.io/)
15:51:31	3512/3512	---M--	200	added ('OK')	image/png	etag:W/%22db8-17e2f5078a1%22	https://buildroyale.io/buildart/leaderboard-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/leaderboard-out.png	(from https://buildroyale.io/)
15:51:32	3132/3132	---M--	200	added ('OK')	image/png	etag:W/%22c3c-17e2f508185%22	https://buildroyale.io/buildart/settings-out.png	C:/My%20Web%20Sites/g/buildroyale.io/buildart/settings-out.png	(from https://buildroyale.io/)
